"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US3727370","ZCTA5 27370, North Carolina","6194"
"8710000US3727371","ZCTA5 27371, North Carolina","3658"
"8710000US3727376","ZCTA5 27376, North Carolina","4418"
"8710000US3727377","ZCTA5 27377, North Carolina","3323"
"8710000US3727379","ZCTA5 27379, North Carolina","2210"
"8710000US3727401","ZCTA5 27401, North Carolina","9340"
"8710000US3727403","ZCTA5 27403, North Carolina","9286"
"8710000US3727405","ZCTA5 27405, North Carolina","19784"
"8710000US3727406","ZCTA5 27406, North Carolina","24862"
"8710000US3727407","ZCTA5 27407, North Carolina","21134"
"8710000US3727408","ZCTA5 27408, North Carolina","8641"
"8710000US3727409","ZCTA5 27409, North Carolina","8561"
"8710000US3727410","ZCTA5 27410, North Carolina","24971"
"8710000US3727455","ZCTA5 27455, North Carolina","12833"
"8710000US3727501","ZCTA5 27501, North Carolina","7091"
"8710000US3727502","ZCTA5 27502, North Carolina","11175"
"8710000US3727503","ZCTA5 27503, North Carolina","1470"
"8710000US3727504","ZCTA5 27504, North Carolina","6224"
"8710000US3727505","ZCTA5 27505, North Carolina","2428"
"8710000US3727507","ZCTA5 27507, North Carolina","913"
"8710000US3727508","ZCTA5 27508, North Carolina","781"
"8710000US3727509","ZCTA5 27509, North Carolina","1617"
"8710000US3727510","ZCTA5 27510, North Carolina","7571"
"8710000US3727511","ZCTA5 27511, North Carolina","13926"
"8710000US3727513","ZCTA5 27513, North Carolina","17067"
"8710000US3727514","ZCTA5 27514, North Carolina","11631"
"8710000US3727516","ZCTA5 27516, North Carolina","14524"
"8710000US3727517","ZCTA5 27517, North Carolina","11279"
"8710000US3727518","ZCTA5 27518, North Carolina","8315"
"8710000US3727519","ZCTA5 27519, North Carolina","14829"
"8710000US3727520","ZCTA5 27520, North Carolina","14567"
"8710000US3727521","ZCTA5 27521, North Carolina","2519"
"8710000US3727522","ZCTA5 27522, North Carolina","5257"
"8710000US3727523","ZCTA5 27523, North Carolina","3984"
"8710000US3727524","ZCTA5 27524, North Carolina","5324"
"8710000US3727525","ZCTA5 27525, North Carolina","5797"
"8710000US3727526","ZCTA5 27526, North Carolina","15278"
"8710000US3727527","ZCTA5 27527, North Carolina","6510"
"8710000US3727529","ZCTA5 27529, North Carolina","16867"
"8710000US3727530","ZCTA5 27530, North Carolina","17619"
"8710000US3727531","ZCTA5 27531, North Carolina","0"
"8710000US3727534","ZCTA5 27534, North Carolina","14048"
"8710000US3727536","ZCTA5 27536, North Carolina","7971"
"8710000US3727537","ZCTA5 27537, North Carolina","10468"
"8710000US3727539","ZCTA5 27539, North Carolina","7020"
"8710000US3727540","ZCTA5 27540, North Carolina","10393"
"8710000US3727541","ZCTA5 27541, North Carolina","1684"
"8710000US3727542","ZCTA5 27542, North Carolina","3983"
"8710000US3727544","ZCTA5 27544, North Carolina","1809"
"8710000US3727545","ZCTA5 27545, North Carolina","9242"
"8710000US3727546","ZCTA5 27546, North Carolina","7449"
"8710000US3727549","ZCTA5 27549, North Carolina","11332"
"8710000US3727551","ZCTA5 27551, North Carolina","1625"
"8710000US3727553","ZCTA5 27553, North Carolina","1202"
"8710000US3727555","ZCTA5 27555, North Carolina","212"
"8710000US3727556","ZCTA5 27556, North Carolina","146"
"8710000US3727557","ZCTA5 27557, North Carolina","3121"
"8710000US3727559","ZCTA5 27559, North Carolina","1024"
"8710000US3727560","ZCTA5 27560, North Carolina","10576"
