"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2140272","ZCTA5 40272, Kentucky","37394"
"8710000US2140280","ZCTA5 40280, Kentucky","303"
"8710000US2140291","ZCTA5 40291, Kentucky","35427"
"8710000US2140299","ZCTA5 40299, Kentucky","38371"
"8710000US2140310","ZCTA5 40310, Kentucky","526"
"8710000US2140311","ZCTA5 40311, Kentucky","7153"
"8710000US2140312","ZCTA5 40312, Kentucky","5898"
"8710000US2140313","ZCTA5 40313, Kentucky","3143"
"8710000US2140316","ZCTA5 40316, Kentucky","309"
"8710000US2140322","ZCTA5 40322, Kentucky","3328"
"8710000US2140324","ZCTA5 40324, Kentucky","41342"
"8710000US2140328","ZCTA5 40328, Kentucky","1065"
"8710000US2140330","ZCTA5 40330, Kentucky","19334"
"8710000US2140334","ZCTA5 40334, Kentucky","76"
"8710000US2140336","ZCTA5 40336, Kentucky","13061"
"8710000US2140337","ZCTA5 40337, Kentucky","5501"
"8710000US2140339","ZCTA5 40339, Kentucky","46"
"8710000US2140342","ZCTA5 40342, Kentucky","21125"
"8710000US2140346","ZCTA5 40346, Kentucky","686"
"8710000US2140347","ZCTA5 40347, Kentucky","2767"
"8710000US2140348","ZCTA5 40348, Kentucky","600"
"8710000US2140350","ZCTA5 40350, Kentucky","228"
"8710000US2140351","ZCTA5 40351, Kentucky","20329"
"8710000US2140353","ZCTA5 40353, Kentucky","20779"
"8710000US2140356","ZCTA5 40356, Kentucky","40503"
"8710000US2140358","ZCTA5 40358, Kentucky","904"
"8710000US2140359","ZCTA5 40359, Kentucky","7080"
"8710000US2140360","ZCTA5 40360, Kentucky","6564"
"8710000US2140361","ZCTA5 40361, Kentucky","18220"
"8710000US2140363","ZCTA5 40363, Kentucky","22"
"8710000US2140370","ZCTA5 40370, Kentucky","2763"
"8710000US2140371","ZCTA5 40371, Kentucky","2838"
"8710000US2140372","ZCTA5 40372, Kentucky","2128"
"8710000US2140374","ZCTA5 40374, Kentucky","1702"
"8710000US2140376","ZCTA5 40376, Kentucky","52"
"8710000US2140379","ZCTA5 40379, Kentucky","3288"
"8710000US2140380","ZCTA5 40380, Kentucky","6612"
"8710000US2140383","ZCTA5 40383, Kentucky","22408"
"8710000US2140385","ZCTA5 40385, Kentucky","3131"
"8710000US2140387","ZCTA5 40387, Kentucky","2046"
"8710000US2140390","ZCTA5 40390, Kentucky","7366"
"8710000US2140391","ZCTA5 40391, Kentucky","35262"
"8710000US2140402","ZCTA5 40402, Kentucky","2905"
"8710000US2140403","ZCTA5 40403, Kentucky","23774"
"8710000US2140404","ZCTA5 40404, Kentucky","643"
"8710000US2140409","ZCTA5 40409, Kentucky","3843"
"8710000US2140419","ZCTA5 40419, Kentucky","4621"
"8710000US2140422","ZCTA5 40422, Kentucky","24280"
"8710000US2140434","ZCTA5 40434, Kentucky","34"
"8710000US2140437","ZCTA5 40437, Kentucky","4932"
"8710000US2140440","ZCTA5 40440, Kentucky","2092"
"8710000US2140442","ZCTA5 40442, Kentucky","1136"
"8710000US2140444","ZCTA5 40444, Kentucky","14096"
"8710000US2140445","ZCTA5 40445, Kentucky","997"
"8710000US2140447","ZCTA5 40447, Kentucky","8251"
"8710000US2140448","ZCTA5 40448, Kentucky","53"
"8710000US2140456","ZCTA5 40456, Kentucky","9300"
"8710000US2140460","ZCTA5 40460, Kentucky","1129"
"8710000US2140461","ZCTA5 40461, Kentucky","3121"
"8710000US2140464","ZCTA5 40464, Kentucky","1114"
"8710000US2140468","ZCTA5 40468, Kentucky","1807"
"8710000US2140472","ZCTA5 40472, Kentucky","1679"
"8710000US2140475","ZCTA5 40475, Kentucky","55803"
"8710000US2140481","ZCTA5 40481, Kentucky","218"
"8710000US2140484","ZCTA5 40484, Kentucky","11612"
"8710000US2140486","ZCTA5 40486, Kentucky","2223"
"8710000US2140489","ZCTA5 40489, Kentucky","4109"
"8710000US2140502","ZCTA5 40502, Kentucky","25709"
"8710000US2140503","ZCTA5 40503, Kentucky","28003"
"8710000US2140504","ZCTA5 40504, Kentucky","25655"
"8710000US2140505","ZCTA5 40505, Kentucky","26040"
"8710000US2140506","ZCTA5 40506, Kentucky","2802"
"8710000US2140507","ZCTA5 40507, Kentucky","1757"
"8710000US2140508","ZCTA5 40508, Kentucky","23569"
"8710000US2140509","ZCTA5 40509, Kentucky","32364"
"8710000US2140510","ZCTA5 40510, Kentucky","1928"
"8710000US2140511","ZCTA5 40511, Kentucky","31798"
"8710000US2140513","ZCTA5 40513, Kentucky","10994"
"8710000US2140514","ZCTA5 40514, Kentucky","14647"
"8710000US2140515","ZCTA5 40515, Kentucky","33595"
"8710000US2140516","ZCTA5 40516, Kentucky","2877"
"8710000US2140517","ZCTA5 40517, Kentucky","35227"
"8710000US2140601","ZCTA5 40601, Kentucky","49566"
"8710000US2140604","ZCTA5 40604, Kentucky","462"
"8710000US2140701","ZCTA5 40701, Kentucky","29497"
