"GEO_ID","NAME","H001001"
"id","Geographic Area Name","Total"
"8710000US2963333","ZCTA5 63333, Missouri","392"
"8710000US2963334","ZCTA5 63334, Missouri","2831"
"8710000US2963336","ZCTA5 63336, Missouri","663"
"8710000US2963339","ZCTA5 63339, Missouri","476"
"8710000US2963341","ZCTA5 63341, Missouri","1403"
"8710000US2963343","ZCTA5 63343, Missouri","2118"
"8710000US2963344","ZCTA5 63344, Missouri","707"
"8710000US2963345","ZCTA5 63345, Missouri","200"
"8710000US2963347","ZCTA5 63347, Missouri","1273"
"8710000US2963348","ZCTA5 63348, Missouri","2365"
"8710000US2963349","ZCTA5 63349, Missouri","798"
"8710000US2963350","ZCTA5 63350, Missouri","299"
"8710000US2963351","ZCTA5 63351, Missouri","796"
"8710000US2963352","ZCTA5 63352, Missouri","523"
"8710000US2963353","ZCTA5 63353, Missouri","2344"
"8710000US2963357","ZCTA5 63357, Missouri","2378"
"8710000US2963359","ZCTA5 63359, Missouri","675"
"8710000US2963361","ZCTA5 63361, Missouri","2203"
"8710000US2963362","ZCTA5 63362, Missouri","2394"
"8710000US2963363","ZCTA5 63363, Missouri","955"
"8710000US2963366","ZCTA5 63366, Missouri","17758"
"8710000US2963367","ZCTA5 63367, Missouri","7958"
"8710000US2963368","ZCTA5 63368, Missouri","15431"
"8710000US2963369","ZCTA5 63369, Missouri","886"
"8710000US2963370","ZCTA5 63370, Missouri","17"
"8710000US2963373","ZCTA5 63373, Missouri","309"
"8710000US2963376","ZCTA5 63376, Missouri","27628"
"8710000US2963377","ZCTA5 63377, Missouri","1049"
"8710000US2963379","ZCTA5 63379, Missouri","9034"
"8710000US2963381","ZCTA5 63381, Missouri","244"
"8710000US2963382","ZCTA5 63382, Missouri","1709"
"8710000US2963383","ZCTA5 63383, Missouri","6547"
"8710000US2963384","ZCTA5 63384, Missouri","922"
"8710000US2963385","ZCTA5 63385, Missouri","12777"
"8710000US2963386","ZCTA5 63386, Missouri","276"
"8710000US2963387","ZCTA5 63387, Missouri","31"
"8710000US2963388","ZCTA5 63388, Missouri","466"
"8710000US2963389","ZCTA5 63389, Missouri","2520"
"8710000US2963390","ZCTA5 63390, Missouri","5113"
"8710000US2963401","ZCTA5 63401, Missouri","9750"
"8710000US2963430","ZCTA5 63430, Missouri","281"
"8710000US2963431","ZCTA5 63431, Missouri","167"
"8710000US2963432","ZCTA5 63432, Missouri","282"
"8710000US2963433","ZCTA5 63433, Missouri","40"
"8710000US2963434","ZCTA5 63434, Missouri","317"
"8710000US2963435","ZCTA5 63435, Missouri","1743"
"8710000US2963436","ZCTA5 63436, Missouri","658"
"8710000US2963437","ZCTA5 63437, Missouri","762"
"8710000US2963438","ZCTA5 63438, Missouri","206"
"8710000US2963439","ZCTA5 63439, Missouri","78"
"8710000US2963440","ZCTA5 63440, Missouri","642"
"8710000US2963441","ZCTA5 63441, Missouri","565"
"8710000US2963443","ZCTA5 63443, Missouri","259"
"8710000US2963445","ZCTA5 63445, Missouri","1820"
"8710000US2963446","ZCTA5 63446, Missouri","363"
"8710000US2963447","ZCTA5 63447, Missouri","548"
"8710000US2963448","ZCTA5 63448, Missouri","733"
"8710000US2963450","ZCTA5 63450, Missouri","69"
"8710000US2963451","ZCTA5 63451, Missouri","137"
"8710000US2963452","ZCTA5 63452, Missouri","570"
"8710000US2963453","ZCTA5 63453, Missouri","219"
"8710000US2963454","ZCTA5 63454, Missouri","424"
"8710000US2963456","ZCTA5 63456, Missouri","2290"
"8710000US2963457","ZCTA5 63457, Missouri","141"
"8710000US2963458","ZCTA5 63458, Missouri","124"
"8710000US2963459","ZCTA5 63459, Missouri","1824"
"8710000US2963460","ZCTA5 63460, Missouri","200"
"8710000US2963461","ZCTA5 63461, Missouri","2597"
"8710000US2963462","ZCTA5 63462, Missouri","1056"
"8710000US2963463","ZCTA5 63463, Missouri","292"
"8710000US2963464","ZCTA5 63464, Missouri","24"
"8710000US2963465","ZCTA5 63465, Missouri","207"
"8710000US2963467","ZCTA5 63467, Missouri","32"
"8710000US2963468","ZCTA5 63468, Missouri","1319"
"8710000US2963469","ZCTA5 63469, Missouri","609"
"8710000US2963471","ZCTA5 63471, Missouri","283"
"8710000US2963472","ZCTA5 63472, Missouri","275"
"8710000US2963473","ZCTA5 63473, Missouri","178"
"8710000US2963474","ZCTA5 63474, Missouri","282"
"8710000US2963501","ZCTA5 63501, Missouri","9321"
"8710000US2963530","ZCTA5 63530, Missouri","435"
"8710000US2963531","ZCTA5 63531, Missouri","334"
"8710000US2963532","ZCTA5 63532, Missouri","656"
"8710000US2963533","ZCTA5 63533, Missouri","382"
"8710000US2963534","ZCTA5 63534, Missouri","428"
"8710000US2963535","ZCTA5 63535, Missouri","64"
"8710000US2963536","ZCTA5 63536, Missouri","407"
"8710000US2963537","ZCTA5 63537, Missouri","1002"
"8710000US2963538","ZCTA5 63538, Missouri","165"
"8710000US2963539","ZCTA5 63539, Missouri","145"
"8710000US2963540","ZCTA5 63540, Missouri","61"
"8710000US2963541","ZCTA5 63541, Missouri","210"
"8710000US2963543","ZCTA5 63543, Missouri","185"
"8710000US2963544","ZCTA5 63544, Missouri","460"
"8710000US2963545","ZCTA5 63545, Missouri","597"
"8710000US2963546","ZCTA5 63546, Missouri","741"
"8710000US2963547","ZCTA5 63547, Missouri","255"
"8710000US2963548","ZCTA5 63548, Missouri","606"
"8710000US2963549","ZCTA5 63549, Missouri","1197"
"8710000US2963551","ZCTA5 63551, Missouri","200"
"8710000US2963552","ZCTA5 63552, Missouri","3820"
"8710000US2963555","ZCTA5 63555, Missouri","1553"
"8710000US2963556","ZCTA5 63556, Missouri","1749"
"8710000US2963557","ZCTA5 63557, Missouri","204"
"8710000US2963558","ZCTA5 63558, Missouri","412"
"8710000US2963559","ZCTA5 63559, Missouri","748"
"8710000US2963560","ZCTA5 63560, Missouri","136"
"8710000US2963561","ZCTA5 63561, Missouri","584"
"8710000US2963563","ZCTA5 63563, Missouri","266"
"8710000US2963565","ZCTA5 63565, Missouri","2280"
"8710000US2963566","ZCTA5 63566, Missouri","86"
"8710000US2963567","ZCTA5 63567, Missouri","117"
"8710000US2963601","ZCTA5 63601, Missouri","7416"
"8710000US2963620","ZCTA5 63620, Missouri","997"
"8710000US2963621","ZCTA5 63621, Missouri","634"
"8710000US2963622","ZCTA5 63622, Missouri","461"
"8710000US2963623","ZCTA5 63623, Missouri","389"
