,zip_code,population
418,41537,5373
419,41538,97
420,41539,1722
421,41540,302
422,41543,543
423,41544,931
424,41547,369
425,41548,862
426,41553,2288
427,41554,1102
428,41555,915
429,41557,1716
430,41558,809
431,41559,339
432,41560,384
433,41562,2807
434,41563,445
435,41564,1159
436,41566,714
437,41567,369
438,41568,1073
439,41571,639
440,41572,3754
441,41601,755
442,41602,819
443,41603,1498
444,41604,620
445,41605,637
446,41606,656
447,41607,318
448,41612,78
449,41615,675
450,41616,794
451,41619,599
452,41621,329
453,41622,228
454,41630,1230
455,41631,1106
456,41632,614
457,41635,3056
458,41636,984
459,41640,1343
460,41642,725
461,41643,194
462,41645,1268
463,41647,1815
464,41649,2631
465,41650,534
466,41653,11451
467,41655,896
468,41659,520
469,41660,802
470,41663,384
471,41666,908
472,41667,720
473,41669,865
474,41701,17252
475,41712,380
476,41713,51
477,41714,418
478,41719,1043
479,41721,788
480,41722,1688
481,41723,1537
482,41725,174
483,41727,640
484,41729,230
485,41731,1023
486,41735,295
487,41739,179
488,41740,877
489,41745,200
490,41746,835
491,41749,3556
492,41751,289
493,41754,460
494,41759,397
495,41760,35
496,41762,107
497,41763,574
498,41764,741
499,41766,131
500,41772,277
501,41773,1273
502,41774,2659
503,41775,114
504,41776,1509
505,41777,947
506,41804,720
507,41810,502
508,41812,230
509,41815,802
510,41817,251
511,41819,392
512,41821,537
513,41822,2553
514,41824,1072
515,41825,548
516,41826,978
517,41828,808
518,41831,849
519,41832,424
520,41833,321
521,41834,659
522,41835,790
523,41836,798
524,41837,1284
525,41838,548
526,41839,1193
527,41840,1111
528,41843,949
529,41844,1355
530,41845,293
531,41847,617
532,41848,80
533,41849,193
534,41855,696
535,41858,8064
536,41859,349
537,41861,108
538,41862,952
539,42001,27960
540,42003,29683
541,42020,2330
542,42021,1505
543,42022,104
544,42023,2422
545,42024,1490
546,42025,19305
547,42027,2291
548,42028,635
549,42029,6321
550,42031,3418
551,42032,192
552,42035,1068
553,42036,1167
554,42037,29
555,42038,5298
556,42039,1751
557,42040,1082
558,42041,4627
559,42044,3404
560,42045,2089
561,42047,192
562,42048,2147
563,42049,1480
564,42050,3256
565,42051,2840
566,42053,4931
567,42054,984
568,42055,2609
569,42056,1982
570,42058,2336
571,42060,130
572,42061,55
573,42064,8421
574,42066,23182
575,42069,1100
576,42071,29655
577,42076,1213
578,42078,1852
579,42079,1426
580,42081,2203
581,42082,1845
582,42083,446
583,42084,83
584,42085,918
585,42086,4036
586,42087,2419
587,42088,2656
588,42101,55648
589,42102,88
590,42103,18936
591,42104,29610
592,42120,2588
593,42122,4368
594,42123,840
595,42124,55
596,42127,6199
597,42129,7026
598,42130,175
599,42133,1370
600,42134,16785
601,42140,1264
602,42141,30349
603,42151,275
604,42153,326
605,42154,691
606,42156,254
607,42157,437
608,42159,1195
609,42160,1992
610,42163,56
611,42164,16277
612,42166,2314
613,42167,8145
614,42170,1403
615,42171,6841
616,42202,2389
617,42204,657
618,42206,5407
619,42207,1207
620,42210,4236
621,42211,13422
622,42214,682
623,42215,1300
624,42217,4117
625,42220,6844
626,42223,13685
627,42232,812
628,42234,2469
629,42236,929
630,42240,42479
631,42254,209
632,42256,5028
633,42259,1281
634,42261,10602
635,42262,8396
636,42265,820
637,42266,2590
638,42273,443
639,42274,2373
640,42275,883
641,42276,14471
642,42280,484
643,42285,375
644,42286,1291
645,42301,42440
646,42303,38909
647,42320,8205
648,42321,327
649,42322,47
650,42323,793
651,42324,1276
652,42325,2028
653,42326,460
654,42327,4037
655,42328,1389
656,42330,9386
657,42332,271
658,42333,1111
659,42337,2026
660,42338,88
661,42339,800
662,42343,1782
663,42344,856
664,42345,11747
665,42347,6152
666,42348,4810
667,42349,1503
668,42350,1433
669,42351,3851
670,42352,2060
671,42354,252
672,42355,1852
673,42356,83
674,42361,492
675,42366,5863
676,42367,667
677,42368,1325
678,42369,331
679,42370,28
680,42371,476
681,42372,1854
682,42374,277
683,42376,5799
684,42378,3339
685,42404,2569
686,42406,3555
687,42408,6737
688,42409,2586
689,42410,1460
690,42411,1656
691,42413,3118
692,42420,38192
693,42431,26916
694,42436,1030
695,42437,8324
696,42440,748
697,42441,1594
698,42442,3504
699,42445,11331
700,42450,4063
701,42451,783
702,42452,2141
703,42453,532
704,42455,3376
705,42456,1690
706,42458,1151
707,42459,4423
708,42461,1481
709,42462,1319
710,42463,156
711,42464,1799
712,42501,17592
713,42503,22894
714,42516,463
715,42518,2914
716,42519,3191
717,42528,1524
718,42533,802
719,42539,10026
720,42541,531
721,42544,5843
722,42553,5284
723,42565,735
724,42566,660
725,42567,6007
726,42602,10169
727,42603,130
728,42629,4953
729,42631,134
730,42633,20065
731,42634,1565
732,42635,5103
733,42638,207
734,42642,12573
735,42647,4086
736,42649,2326
737,42653,4619
738,42701,48194
739,42712,1855
740,42713,1641
741,42715,347
742,42716,1582
743,42717,6558
744,42718,24312
745,42721,3982
746,42722,714
747,42724,4714
748,42726,4667
749,42728,15925
750,42729,1617
751,42731,341
752,42732,2120
753,42733,1454
754,42740,1973
755,42741,480
756,42743,8869
757,42746,1892
758,42748,8706
759,42749,5245
760,42753,743
761,42754,15349
762,42757,2974
763,42758,139
764,42762,422
765,42764,559
766,42765,5840
767,42776,2736
768,42782,953
769,42784,2685
770,42788,310
