,zip_code,H001001
432,72576,1943
433,72577,341
434,72578,102
435,72579,552
436,72581,679
437,72583,816
438,72584,281
439,72585,113
440,72587,77
441,72601,13468
442,72611,739
443,72616,4466
444,72617,123
445,72619,1203
446,72623,323
447,72624,337
448,72626,770
449,72628,471
450,72629,371
451,72630,161
452,72631,2558
453,72632,2734
454,72633,850
455,72634,2384
456,72635,1580
457,72636,32
458,72638,3056
459,72639,434
460,72640,200
461,72641,1463
462,72642,1222
463,72644,1244
464,72645,1192
465,72648,419
466,72650,2437
467,72651,663
468,72653,14766
469,72655,279
470,72658,975
471,72660,245
472,72661,418
473,72662,1424
474,72663,155
475,72666,177
476,72668,411
477,72669,59
478,72670,58
479,72672,146
480,72675,893
481,72677,246
482,72679,34
483,72680,427
484,72682,110
485,72683,102
486,72685,632
487,72686,128
488,72687,3357
489,72701,17819
490,72703,14905
491,72704,10221
492,72712,16890
493,72714,5539
494,72715,8003
495,72717,489
496,72718,579
497,72719,3519
498,72721,206
499,72722,1291
500,72727,2523
501,72729,123
502,72730,3115
503,72732,2576
504,72734,2974
505,72736,2624
506,72738,1106
507,72739,207
508,72740,4302
509,72742,310
510,72744,2347
511,72745,4641
512,72747,60
513,72749,30
514,72751,2543
515,72752,233
516,72753,3408
517,72756,16779
518,72758,13088
519,72760,206
520,72761,8192
521,72762,13463
522,72764,18490
523,72768,673
524,72769,478
525,72773,422
526,72774,2583
527,72776,338
528,72801,7479
529,72802,8479
530,72821,889
531,72823,2902
532,72824,770
533,72826,16
534,72827,125
535,72828,71
536,72830,6217
537,72832,431
538,72833,1708
539,72834,4430
540,72835,461
541,72837,3465
542,72838,69
543,72839,202
544,72840,958
545,72841,118
546,72842,740
547,72843,1089
548,72845,563
549,72846,1732
550,72847,1252
551,72851,311
552,72852,199
553,72853,994
554,72854,496
555,72855,2964
556,72856,306
557,72857,933
558,72858,1214
559,72860,212
560,72863,774
561,72865,497
562,72901,10306
563,72903,12091
564,72904,8447
565,72908,5779
566,72916,2971
567,72921,5521
568,72923,2094
569,72926,280
570,72927,3842
571,72928,328
572,72930,167
573,72932,656
574,72933,2162
575,72934,569
576,72935,234
577,72936,5865
578,72937,1688
579,72938,643
580,72940,1149
581,72941,2164
582,72943,1178
583,72944,1288
584,72945,139
585,72946,1812
586,72947,2065
587,72948,284
588,72949,4514
589,72950,221
590,72951,422
591,72952,1283
592,72955,184
593,72956,14013
594,72958,3671
595,72959,1400
596,75556,9
