,zip_code,population
427,64092,24
428,64093,11075
429,64096,512
430,64097,605
431,64098,1312
432,64101,24
433,64102,0
434,64105,2904
435,64106,3669
436,64108,4484
437,64109,5994
438,64110,7985
439,64111,11569
440,64112,5744
441,64113,4863
442,64114,12764
443,64116,8032
444,64117,6360
445,64118,18746
446,64119,11880
447,64120,239
448,64123,4108
449,64124,5618
450,64125,849
451,64126,2828
452,64127,8464
453,64128,6344
454,64129,4467
455,64130,10854
456,64131,11139
457,64132,6787
458,64133,15503
459,64134,9316
460,64136,983
461,64137,4703
462,64138,11220
463,64139,575
464,64145,2303
465,64146,732
466,64147,232
467,64149,151
468,64150,1570
469,64151,11197
470,64152,10240
471,64153,2634
472,64154,4432
473,64155,8670
474,64156,2259
475,64157,5686
476,64158,2156
477,64161,174
478,64163,417
479,64164,128
480,64165,44
481,64166,109
482,64167,124
483,64192,9
484,64401,557
485,64402,1198
486,64420,35
487,64421,454
488,64422,151
489,64423,356
490,64424,2132
491,64426,193
492,64427,283
493,64428,438
494,64429,4317
495,64430,357
496,64431,221
497,64432,30
498,64433,30
499,64434,218
500,64436,315
501,64437,742
502,64438,128
503,64439,745
504,64440,295
505,64441,132
506,64442,366
507,64443,487
508,64444,566
509,64445,159
510,64446,594
511,64448,467
512,64449,209
513,64451,237
514,64453,105
515,64454,1073
516,64455,188
517,64456,844
518,64457,157
519,64458,82
520,64459,232
521,64461,441
522,64463,767
523,64465,1886
524,64466,266
525,64467,101
526,64468,6029
527,64469,1014
528,64470,819
529,64471,263
530,64473,720
531,64474,388
532,64475,258
533,64476,190
534,64477,1533
535,64479,400
536,64480,140
537,64481,586
538,64482,1062
539,64483,298
540,64484,582
541,64485,3376
542,64486,266
543,64487,408
544,64489,917
545,64490,891
546,64491,1000
547,64492,733
548,64493,209
549,64494,459
550,64496,90
551,64497,256
552,64498,204
553,64499,68
554,64501,5914
555,64503,5730
556,64504,4657
557,64505,5546
558,64506,9627
559,64507,5993
560,64601,5385
561,64620,288
562,64622,293
563,64623,321
564,64624,780
565,64625,348
566,64628,3015
567,64630,331
568,64631,515
569,64632,388
570,64633,2556
571,64635,244
572,64636,146
573,64637,353
574,64638,246
575,64639,123
576,64640,1738
577,64641,339
578,64642,475
579,64643,556
580,64644,1344
581,64645,121
582,64646,172
583,64647,198
584,64648,823
585,64649,360
586,64650,318
587,64651,311
588,64652,223
589,64653,344
590,64654,28
591,64655,153
592,64656,158
593,64657,204
594,64658,1627
595,64659,425
596,64660,272
597,64661,657
598,64664,171
599,64667,195
600,64668,714
601,64670,509
602,64671,1237
603,64672,137
604,64673,1258
605,64674,241
606,64676,110
607,64679,358
608,64681,170
609,64682,176
610,64683,4048
611,64686,122
612,64688,240
613,64689,304
614,64701,5845
615,64720,1676
616,64722,239
617,64723,308
618,64724,959
619,64725,917
620,64726,236
621,64728,271
622,64730,3354
623,64733,529
624,64734,788
625,64735,6509
626,64738,609
627,64739,434
628,64740,1130
629,64741,157
630,64742,958
631,64743,111
632,64744,3867
633,64745,63
634,64746,630
635,64747,1637
636,64748,733
637,64750,194
638,64752,341
639,64755,1147
640,64756,401
641,64759,3662
642,64761,658
643,64762,744
644,64763,1007
645,64765,28
646,64767,358
647,64769,272
648,64770,552
649,64771,281
650,64772,6138
651,64776,2307
652,64778,281
653,64779,1236
654,64780,377
655,64781,69
656,64783,396
657,64784,664
658,64788,685
659,64790,373
660,64801,16039
661,64804,16825
662,64830,281
663,64831,2527
664,64832,347
665,64833,54
666,64834,3580
667,64835,804
668,64836,9671
669,64840,1140
670,64841,173
671,64842,349
672,64843,1375
673,64844,1941
674,64847,220
675,64848,290
676,64849,81
677,64850,9940
678,64854,1779
679,64855,1078
680,64856,1857
681,64857,174
682,64858,73
683,64859,547
684,64861,515
685,64862,1453
686,64863,749
687,64865,2399
688,64866,610
689,64867,654
690,64870,5829
691,64873,430
692,64874,360
693,65001,189
694,65010,2350
695,65011,1374
696,65013,1782
697,65014,1257
698,65016,605
699,65017,710
700,65018,3300
701,65020,9927
702,65023,793
703,65024,611
704,65025,352
705,65026,5609
706,65032,718
707,65034,265
708,65035,782
709,65037,5573
710,65039,1027
711,65040,578
712,65041,3384
713,65043,4036
714,65046,562
715,65047,877
716,65048,76
717,65049,8517
718,65050,216
719,65051,2177
720,65052,1924
721,65053,585
722,65054,369
723,65058,480
724,65059,364
725,65061,577
726,65062,57
727,65063,1398
728,65064,262
729,65065,8216
730,65066,3262
731,65067,269
732,65068,364
733,65069,409
734,65072,2721
735,65074,1284
736,65075,335
737,65076,298
738,65077,326
739,65078,3078
740,65079,6349
741,65080,443
742,65081,1267
743,65082,498
744,65083,161
745,65084,3223
746,65085,519
747,65101,12197
748,65109,16982
749,65201,15571
750,65202,20485
751,65203,23790
752,65215,0
753,65230,347
754,65231,1514
755,65232,129
756,65233,4749
757,65236,740
758,65237,437
759,65239,598
760,65240,3169
761,65243,891
762,65244,215
763,65246,71
764,65247,314
765,65248,1966
766,65250,287
767,65251,8694
768,65254,872
769,65255,1511
770,65256,715
771,65257,775
772,65258,245
773,65259,1240
774,65260,253
775,65261,693
776,65262,389
777,65263,891
778,65264,344
779,65265,7050
780,65270,7278
781,65274,815
782,65275,1402
783,65276,720
784,65278,52
785,65279,793
786,65280,110
787,65281,1486
788,65282,144
789,65283,417
790,65284,1010
791,65285,301
792,65286,88
793,65287,211
794,65301,15029
795,65305,784
796,65320,61
797,65321,200
798,65322,281
799,65323,455
800,65324,1778
801,65325,1505
802,65326,2617
803,65327,105
804,65329,214
805,65330,203
806,65332,659
807,65333,327
808,65334,347
809,65335,102
810,65336,2693
811,65337,775
812,65338,2013
813,65339,313
814,65340,6458
815,65344,158
816,65345,163
817,65347,340
818,65348,618
819,65349,1292
820,65350,755
821,65351,1163
822,65354,266
823,65355,8572
824,65360,2099
825,65401,13795
826,65436,47
827,65438,1409
828,65439,128
829,65440,263
830,65441,2416
831,65443,52
832,65444,544
833,65446,174
834,65449,218
835,65452,1489
836,65453,4349
837,65456,286
838,65457,152
839,65459,3724
840,65461,52
841,65462,725
842,65463,478
843,65464,271
844,65466,923
845,65468,50
846,65470,448
847,65473,2013
848,65479,218
849,65483,2279
850,65484,95
851,65486,1522
852,65501,97
853,65529,127
854,65534,431
855,65535,791
856,65536,12903
857,65541,113
858,65542,2424
859,65543,184
860,65548,2726
